RUN	STATISTIC	VALUE
062	lanczos_min_converged	297
062	lanczos_max_converged	310
062	time_input	3.32348
062	time_solve	887.821
062	compression_ratio	0.0999069
063	iterations	72
063	L_final	348.591
063	lanczos_mean	8.76712
063	lanczos_min	7
063	lanczos_max	11
063	lanczos_mean_converged	302.375
063	lanczos_min_converged	292
063	lanczos_max_converged	311
063	time_input	2.92542
063	time_solve	977.388
063	compression_ratio	0.0999069
064	iterations	95
064	L_final	338.719
064	lanczos_mean	8.46745
064	lanczos_min	6
064	lanczos_max	10
064	lanczos_mean_converged	305.625
064	lanczos_min_converged	301
064	lanczos_max_converged	311
064	time_input	2.83584
064	time_solve	1078.72
064	compression_ratio	0.0999069
065	iterations	80
065	L_final	337.727
065	lanczos_mean	8.25617
065	lanczos_min	6
065	lanczos_max	11
065	lanczos_mean_converged	305.625
065	lanczos_min_converged	297
065	lanczos_max_converged	313
065	time_input	3.35708
065	time_solve	1047.82
065	compression_ratio	0.0999069
066	iterations	51
066	L_final	368.511
066	lanczos_mean	8.28125
066	lanczos_min	7
066	lanczos_max	11
066	lanczos_mean_converged	304.125
066	lanczos_min_converged	291
066	lanczos_max_converged	314
066	time_input	3.37092
066	time_solve	1014.2
066	compression_ratio	0.0999069
067	iterations	58
067	L_final	354.223
067	lanczos_mean	8.31568
067	lanczos_min	6
067	lanczos_max	10
067	lanczos_mean_converged	304.375
067	lanczos_min_converged	296
067	lanczos_max_converged	310
067	time_input	3.19011
067	time_solve	956.438
067	compression_ratio	0.0999069
068	L_final	376.45
068	lanczos_mean	11.0557
068	lanczos_min	6
068	lanczos_max	312
068	lanczos_mean_converged	0
068	lanczos_min_converged	0
068	lanczos_max_converged	0
068	time_input	2.84633
068	time_solve	1088.69
068	compression_ratio	0.0999069
069	L_final	359.084
069	lanczos_mean	11.005
069	lanczos_min	7
069	lanczos_max	313
069	lanczos_mean_converged	0
069	lanczos_min_converged	0
069	lanczos_max_converged	0
069	time_input	3.22575
069	time_solve	987.247
069	compression_ratio	0.0999069
070	L_final	326.96
070	lanczos_mean	11.3552
070	lanczos_min	6
070	lanczos_max	310
070	lanczos_mean_converged	0
070	lanczos_min_converged	0
070	lanczos_max_converged	0
070	time_input	3.25899
070	time_solve	1043.21
070	compression_ratio	0.0999069
071	L_final	355.41
071	lanczos_mean	10.9691
071	lanczos_min	6
071	lanczos_max	309
071	lanczos_mean_converged	0
071	lanczos_min_converged	0
071	lanczos_max_converged	0
071	time_input	3.57119
071	time_solve	1120.64
071	compression_ratio	0.0999069
072	L_final	351.38
072	lanczos_mean	11.0532
072	lanczos_min	6
072	lanczos_max	315
072	lanczos_mean_converged	0
072	lanczos_min_converged	0
072	lanczos_max_converged	0
072	time_input	3.32518
072	time_solve	1069.22
072	compression_ratio	0.0999069
073	iterations	70
073	L_final	376.317
073	lanczos_mean	8.17077
073	lanczos_min	7
073	lanczos_max	10
073	lanczos_mean_converged	303
073	lanczos_min_converged	292
073	lanczos_max_converged	311
073	time_input	2.86907
073	time_solve	929.679
073	compression_ratio	0.0999069
074	L_final	370.649
074	lanczos_mean	11.1819
074	lanczos_min	6
074	lanczos_max	309
074	lanczos_mean_converged	0
