K	M	STATISTIC	VALUE
30	10	lanczos_min	5
30	10	lanczos_max	12
30	10	lanczos_mean_converged	25.1
30	10	lanczos_min_converged	22
30	10	lanczos_max_converged	30
30	10	time_input	11.9299
30	10	time_solve	280.899
30	10	compression_ratio	0.106856
30	20	iterations	77
30	20	L_final	9899.13
30	20	lanczos_mean	7.52179
30	20	lanczos_min	5
30	20	lanczos_max	12
30	20	lanczos_mean_converged	40.6
30	20	lanczos_min_converged	37
30	20	lanczos_max_converged	45
30	20	time_input	8.87649
30	20	time_solve	293.014
30	20	compression_ratio	0.212763
30	30	iterations	77
30	30	L_final	5169.23
30	30	lanczos_mean	7.52179
30	30	lanczos_min	5
30	30	lanczos_max	12
30	30	lanczos_mean_converged	56.8
30	30	lanczos_min_converged	53
30	30	lanczos_max_converged	60
30	30	time_input	10.7065
30	30	time_solve	308.045
30	30	compression_ratio	0.31867
30	40	iterations	77
30	40	L_final	3185.74
30	40	lanczos_mean	7.52179
30	40	lanczos_min	5
30	40	lanczos_max	12
30	40	lanczos_mean_converged	71.7333
30	40	lanczos_min_converged	68
30	40	lanczos_max_converged	77
30	40	time_input	11.8528
30	40	time_solve	329.613
30	40	compression_ratio	0.424576
30	50	iterations	77
30	50	L_final	2158.49
30	50	lanczos_mean	7.52179
30	50	lanczos_min	5
30	50	lanczos_max	12
30	50	lanczos_mean_converged	87.5667
30	50	lanczos_min_converged	83
30	50	lanczos_max_converged	93
30	50	time_input	8.90417
30	50	time_solve	357.207
30	50	compression_ratio	0.530483
30	60	iterations	77
30	60	L_final	1548.32
30	60	lanczos_mean	7.52179
30	60	lanczos_min	5
30	60	lanczos_max	12
30	60	lanczos_mean_converged	102.133
30	60	lanczos_min_converged	96
30	60	lanczos_max_converged	109
30	60	time_input	25.6089
30	60	time_solve	383.135
30	60	compression_ratio	0.636389
30	70	iterations	77
30	70	L_final	1157.74
30	70	lanczos_mean	7.52179
30	70	lanczos_min	5
30	70	lanczos_max	12
30	70	lanczos_mean_converged	117.033
30	70	lanczos_min_converged	111
30	70	lanczos_max_converged	123
30	70	time_input	26.4019
30	70	time_solve	415.825
30	70	compression_ratio	0.742296
30	80	iterations	77
30	80	L_final	894.627
30	80	lanczos_mean	7.52179
30	80	lanczos_min	5
30	80	lanczos_max	12
30	80	lanczos_mean_converged	132.1
30	80	lanczos_min_converged	125
30	80	lanczos_max_converged	140
30	80	time_input	26.8021
30	80	time_solve	453.425
30	80	compression_ratio	0.848203
30	90	iterations	77
30	90	L_final	707.553
30	90	lanczos_mean	7.52179
30	90	lanczos_min	5
30	90	lanczos_max	12
30	90	lanczos_mean_converged	145.8
30	90	lanczos_min_converged	138
30	90	lanczos_max_converged	152
30	90	time_input	26.2661
30	90	time_solve	490.866
30	90	compression_ratio	0.954109
40	10	L_final	21921.9
40	10	lanczos_mean	7.6052
40	10	lanczos_min	1
40	10	lanczos_max	28
40	10	lanczos_mean_converged	0
40	10	lanczos_min_converged	0
40	10	lanczos_max_converged	0
40	10	time_input	26.8955
40	10	time_solve	431.553
40	10	compression_ratio	0.142364
40	20	L_final	7834.39
40	20	lanczos_mean	7.76634
40	20	lanczos_min	1
40	20	lanczos_max	44
40	20	lanczos_mean_converged	0
40	20	lanczos_min_converged	0
40	20	lanczos_max_converged	0
40	20	time_input	27.359
40	20	time_solve	445.563
40	20	compression_ratio	0.283573
40	30	L_final	4054.9
40	30	lanczos_mean	7.91733
40	30	lanczos_min	1
40	30	lanczos_max	60
40	30	lanczos_mean_converged	0
40	30	lanczos_min_converged	0
40	30	lanczos_max_converged	0
40	30	time_input	27.0266
40	30	time_solve	460.344
40	30	compression_ratio	0.424782
40	40	L_final	2494.95
40	40	lanczos_mean	8.07104
40	40	lanczos_min	1
40	40	lanczos_max	77
40	40	lanczos_mean_converged	0
40	40	lanczos_min_converged	0
40	40	lanczos_max_converged	0
40	40	time_input	27.1207
40	40	time_solve	487.154
40	40	compression_ratio	0.565991
40	50	L_final	1687.32
40	50	lanczos_mean	8.22772
40	50	lanczos_min	1
40	50	lanczos_max	93
40	50	lanczos_mean_converged	0
40	50	lanczos_min_converged	0
40	50	lanczos_max_converged	0
40	50	time_input	27.0221
40	50	time_solve	514.141
40	50	compression_ratio	0.7072
40	60	L_final	1214.12
40	60	lanczos_mean	8.37896
40	60	lanczos_min	1
40	60	lanczos_max	109
40	60	lanczos_mean_converged	0
40	60	lanczos_min_converged	0
40	60	lanczos_max_converged	0
40	60	time_input	27.0218
40	60	time_solve	545.111
40	60	compression_ratio	0.848408
40	70	L_final	908.973
40	70	lanczos_mean	8.52649
40	70	lanczos_min	1
40	70	lanczos_max	125
40	70	lanczos_mean_converged	0
40	70	lanczos_min_converged	0
40	70	lanczos_max_converged	0
40	70	time_input	26.8545
40	70	time_solve	580.635
40	70	compression_ratio	0.989617
50	10	L_final	19610.4
50	10	lanczos_mean	0
50	10	lanczos_min	0
50	10	lanczos_max	0
50	10	lanczos_mean_converged	0
50	10	lanczos_min_converged	0
50	10	lanczos_max_converged	0
50	10	time_input	19.6229
50	10	time_solve	497.258
50	10	compression_ratio	0.177872
50	20	L_final	6821.17
50	20	lanczos_mean	0
50	20	lanczos_min	0
50	20	lanczos_max	0
50	20	lanczos_mean_converged	0
50	20	lanczos_min_converged	0
50	20	lanczos_max_converged	0
50	20	time_input	19.1943
50	20	time_solve	510.868
50	20	compression_ratio	0.354383
50	30	L_final	3482.97
50	30	lanczos_mean	0
50	30	lanczos_min	0
50	30	lanczos_max	0
50	30	lanczos_mean_converged	0
50	30	lanczos_min_converged	0
50	30	lanczos_max_converged	0
50	30	time_input	18.099
50	30	time_solve	531.657
50	30	compression_ratio	0.530894
50	40	L_final	2118.74
50	40	lanczos_mean	0
50	40	lanczos_min	0
50	40	lanczos_max	0
50	40	lanczos_mean_converged	0
50	40	lanczos_min_converged	0
50	40	lanczos_max_converged	0
50	40	time_input	18.0885
50	40	time_solve	558.614
50	40	compression_ratio	0.707405
50	50	L_final	1421.79
50	50	lanczos_mean	0
50	50	lanczos_min	0
50	50	lanczos_max	0
50	50	lanczos_mean_converged	0
50	50	lanczos_min_converged	0
50	50	lanczos_max_converged	0
50	50	time_input	18.1649
50	50	time_solve	591.188
50	50	compression_ratio	0.883916
60	10	iterations	89
60	10	L_final	16150.9
60	10	lanczos_mean	0
60	10	lanczos_min	0
60	10	lanczos_max	0
60	10	lanczos_mean_converged	0
60	10	lanczos_min_converged	0
60	10	lanczos_max_converged	0
60	10	time_input	18.1734
60	10	time_solve	519.106
60	10	compression_ratio	0.21338
60	20	iterations	89
60	20	L_final	5371.64
60	20	lanczos_mean	0
60	20	lanczos_min	0
60	20	lanczos_max	0
60	20	lanczos_mean_converged	0
60	20	lanczos_min_converged	0
60	20	lanczos_max_converged	0
60	20	time_input	17.8391
60	20	time_solve	532.964
60	20	compression_ratio	0.425193
60	30	iterations	89
60	30	L_final	2684.26
60	30	lanczos_mean	0
60	30	lanczos_min	0
60	30	lanczos_max	0
60	30	lanczos_mean_converged	0
60	30	lanczos_min_converged	0
60	30	lanczos_max_converged	0
60	30	time_input	14.302
60	30	time_solve	553.832
60	30	compression_ratio	0.637007
60	40	iterations	89
60	40	L_final	1610.91
60	40	lanczos_mean	0
60	40	lanczos_min	0
60	40	lanczos_max	0
60	40	lanczos_mean_converged	0
60	40	lanczos_min_converged	0
60	40	lanczos_max_converged	0
60	40	time_input	14.3027
60	40	time_solve	578.516
60	40	compression_ratio	0.84882
70	10	iterations	99
70	10	L_final	15193.6
70	10	lanczos_mean	0
70	10	lanczos_min	0
70	10	lanczos_max	0
70	10	lanczos_mean_converged	0
70	10	lanczos_min_converged	0
70	10	lanczos_max_converged	0
70	10	time_input	14.4006
70	10	time_solve	647.677
70	10	compression_ratio	0.248888
70	20	iterations	99
70	20	L_final	5107.75
70	20	lanczos_mean	0
70	20	lanczos_min	0
70	20	lanczos_max	0
70	20	lanczos_mean_converged	0
70	20	lanczos_min_converged	0
70	20	lanczos_max_converged	0
70	20	time_input	14.317
70	20	time_solve	660.466
70	20	compression_ratio	0.496004
70	30	iterations	99
70	30	L_final	2583.38
70	30	lanczos_mean	0
70	30	lanczos_min	0
70	30	lanczos_max	0
70	30	lanczos_mean_converged	0
70	30	lanczos_min_converged	0
70	30	lanczos_max_converged	0
70	30	time_input	15.7899
70	30	time_solve	689.032
70	30	compression_ratio	0.743119
70	40	iterations	99
70	40	L_final	1554.24
70	40	lanczos_mean	0
70	40	lanczos_min	0
70	40	lanczos_max	0
70	40	lanczos_mean_converged	0
70	40	lanczos_min_converged	0
70	40	lanczos_max_converged	0
70	40	time_input	13.0034
70	40	time_solve	712.358
70	40	compression_ratio	0.990235
80	10	L_final	13839.9
80	10	lanczos_mean	0
80	10	lanczos_min	0
80	10	lanczos_max	0
80	10	lanczos_mean_converged	0
80	10	lanczos_min_converged	0
80	10	lanczos_max_converged	0
80	10	time_input	15.0653
80	10	time_solve	720.115
80	10	compression_ratio	0.284396
80	20	L_final	4574.71
80	20	lanczos_mean	0
80	20	lanczos_min	0
80	20	lanczos_max	0
80	20	lanczos_mean_converged	0
80	20	lanczos_min_converged	0
80	20	lanczos_max_converged	0
80	20	time_input	10.563
80	20	time_solve	742.25
80	20	compression_ratio	0.566814
80	30	L_final	2297.84
80	30	lanczos_mean	0
80	30	lanczos_min	0
80	30	lanczos_max	0
80	30	lanczos_mean_converged	0
80	30	lanczos_min_converged	0
80	30	lanczos_max_converged	0
80	30	time_input	11.0396
80	30	time_solve	761.305
80	30	compression_ratio	0.849231
90	10	L_final	12596.7
90	10	lanczos_mean	0
90	10	lanczos_min	0
90	10	lanczos_max	0
90	10	lanczos_mean_converged	0
90	10	lanczos_min_converged	0
90	10	lanczos_max_converged	0
90	10	time_input	10.9973
90	10	time_solve	777.83
90	10	compression_ratio	0.319904
90	20	L_final	4065.37
90	20	lanczos_mean	0
90	20	lanczos_min	0
90	20	lanczos_max	0
90	20	lanczos_mean_converged	0
90	20	lanczos_min_converged	0
90	20	lanczos_max_converged	0
90	20	time_input	10.9953
90	20	time_solve	798.297
90	20	compression_ratio	0.637624
90	30	L_final	2005.37
90	30	lanczos_mean	0
90	30	lanczos_min	0
90	30	lanczos_max	0
90	30	lanczos_mean_converged	0
90	30	lanczos_min_converged	0
90	30	lanczos_max_converged	0
90	30	time_input	10.5145
90	30	time_solve	814.718
90	30	compression_ratio	0.955344
100	10	iterations	64
100	10	L_final	11390
100	10	lanczos_mean	0
100	10	lanczos_min	0
100	10	lanczos_max	0
100	10	lanczos_mean_converged	0
100	10	lanczos_min_converged	0
100	10	lanczos_max_converged	0
100	10	time_input	12.4643
100	10	time_solve	566.746
100	10	compression_ratio	0.355412
100	20	iterations	64
100	20	L_final	3677.75
100	20	lanczos_mean	0
100	20	lanczos_min	0
100	20	lanczos_max	0
100	20	lanczos_mean_converged	0
100	20	lanczos_min_converged	0
100	20	lanczos_max_converged	0
100	20	time_input	8.257
100	20	time_solve	579.609
100	20	compression_ratio	0.708434
110	10	L_final	11111.4
110	10	lanczos_mean	0
110	10	lanczos_min	0
110	10	lanczos_max	0
110	10	lanczos_mean_converged	0
110	10	lanczos_min_converged	0
110	10	lanczos_max_converged	0
110	10	time_input	7.95122
110	10	time_solve	939.987
110	10	compression_ratio	0.39092
110	20	L_final	3674.7
110	20	lanczos_mean	0
110	20	lanczos_min	0
110	20	lanczos_max	0
110	20	lanczos_mean_converged	0
110	20	lanczos_min_converged	0
110	20	lanczos_max_converged	0
110	20	time_input	16.3888
110	20	time_solve	958.797
110	20	compression_ratio	0.779244
120	10	iterations	89
120	10	L_final	10474
120	10	lanczos_mean	0
120	10	lanczos_min	0
120	10	lanczos_max	0
120	10	lanczos_mean_converged	0
120	10	lanczos_min_converged	0
120	10	lanczos_max_converged	0
120	10	time_input	10.8684
120	10	time_solve	904.151
120	10	compression_ratio	0.426428
120	20	iterations	89
120	20	L_final	3367.78
