K	M	STATISTIC	VALUE
5	20	time_solve	126.351
5	20	compression_ratio	0.0357375
5	30	iterations	82
5	30	L_final	17823.4
5	30	lanczos_mean	0
5	30	lanczos_min	0
5	30	lanczos_max	0
5	30	lanczos_mean_converged	0
5	30	lanczos_min_converged	0
5	30	lanczos_max_converged	0
5	30	time_input	16.4115
5	30	time_solve	136.775
5	30	compression_ratio	0.0533886
5	40	iterations	82
5	40	L_final	11450.4
5	40	lanczos_mean	0
5	40	lanczos_min	0
5	40	lanczos_max	0
5	40	lanczos_mean_converged	0
5	40	lanczos_min_converged	0
5	40	lanczos_max_converged	0
5	40	time_input	15.5208
5	40	time_solve	150.495
5	40	compression_ratio	0.0710397
5	50	iterations	82
5	50	L_final	7965.83
5	50	lanczos_mean	0
5	50	lanczos_min	0
5	50	lanczos_max	0
5	50	lanczos_mean_converged	0
5	50	lanczos_min_converged	0
5	50	lanczos_max_converged	0
5	50	time_input	16.3113
5	50	time_solve	166.074
5	50	compression_ratio	0.0886908
5	60	iterations	82
5	60	L_final	5867.05
5	60	lanczos_mean	0
5	60	lanczos_min	0
5	60	lanczos_max	0
5	60	lanczos_mean_converged	0
5	60	lanczos_min_converged	0
5	60	lanczos_max_converged	0
5	60	time_input	17.4206
5	60	time_solve	188.336
5	60	compression_ratio	0.106342
5	70	iterations	82
5	70	L_final	4493.94
5	70	lanczos_mean	0
5	70	lanczos_min	0
5	70	lanczos_max	0
5	70	lanczos_mean_converged	0
5	70	lanczos_min_converged	0
5	70	lanczos_max_converged	0
5	70	time_input	16.4465
5	70	time_solve	211.208
5	70	compression_ratio	0.123993
5	80	iterations	82
5	80	L_final	3550.46
5	80	lanczos_mean	0
5	80	lanczos_min	0
5	80	lanczos_max	0
5	80	lanczos_mean_converged	0
5	80	lanczos_min_converged	0
5	80	lanczos_max_converged	0
5	80	time_input	17.2778
5	80	time_solve	235.448
5	80	compression_ratio	0.141644
5	90	iterations	82
5	90	L_final	2869.33
5	90	lanczos_mean	0
5	90	lanczos_min	0
5	90	lanczos_max	0
5	90	lanczos_mean_converged	0
5	90	lanczos_min_converged	0
5	90	lanczos_max_converged	0
5	90	time_input	16.8755
5	90	time_solve	260.253
5	90	compression_ratio	0.159295
5	100	iterations	82
5	100	L_final	2359.88
5	100	lanczos_mean	0
5	100	lanczos_min	0
5	100	lanczos_max	0
5	100	lanczos_mean_converged	0
5	100	lanczos_min_converged	0
5	100	lanczos_max_converged	0
5	100	time_input	16.2797
5	100	time_solve	293.888
5	100	compression_ratio	0.176946
5	110	iterations	82
5	110	L_final	1968.37
