VARIABLE	ENSEMBLE	RMSZ	EXCLUDED
FSDSC	g16.051.cam.h0.0001-01-01-00000.nc	1.02626	0
FSDSC	g16.052.cam.h0.0001-01-01-00000.nc	1.03361	0
FSDSC	g16.053.cam.h0.0001-01-01-00000.nc	1.02274	0
FSDSC	g16.054.cam.h0.0001-01-01-00000.nc	1.04605	0
FSDSC	g16.055.cam.h0.0001-01-01-00000.nc	0.96203	0
FSDSC	g16.056.cam.h0.0001-01-01-00000.nc	0.908573	0
FSDSC	g16.057.cam.h0.0001-01-01-00000.nc	1.00844	0
FSDSC	g16.058.cam.h0.0001-01-01-00000.nc	1.04096	0
FSDSC	g16.059.cam.h0.0001-01-01-00000.nc	1.09071	0
FSDSC	g16.060.cam.h0.0001-01-01-00000.nc	0.881705	0
FSDSC	g16.061.cam.h0.0001-01-01-00000.nc	1.02159	0
FSDSC	g16.062.cam.h0.0001-01-01-00000.nc	1.00795	0
FSDSC	g16.063.cam.h0.0001-01-01-00000.nc	1.03135	0
FSDSC	g16.064.cam.h0.0001-01-01-00000.nc	1.04185	0
FSDSC	g16.065.cam.h0.0001-01-01-00000.nc	0.927998	0
FSDSC	g16.066.cam.h0.0001-01-01-00000.nc	1.1013	0
FSDSC	g16.067.cam.h0.0001-01-01-00000.nc	0.919996	0
FSDSC	g16.068.cam.h0.0001-01-01-00000.nc	1.02781	0
FSDSC	g16.069.cam.h0.0001-01-01-00000.nc	1.03176	0
FSDSC	g16.070.cam.h0.0001-01-01-00000.nc	1.05884	0
FSDSC	g16.071.cam.h0.0001-01-01-00000.nc	0.994845	0
FSDSC	g16.072.cam.h0.0001-01-01-00000.nc	0.940093	0
FSDSC	g16.073.cam.h0.0001-01-01-00000.nc	1.07661	0
FSDSC	g16.074.cam.h0.0001-01-01-00000.nc	1.0105	0
FSDSC	g16.075.cam.h0.0001-01-01-00000.nc	1.03352	0
FSDSC	g16.076.cam.h0.0001-01-01-00000.nc	1.11651	0
FSDSC	g16.077.cam.h0.0001-01-01-00000.nc	0.90865	0
FSDSC	g16.078.cam.h0.0001-01-01-00000.nc	1.01362	0
FSDSC	g16.079.cam.h0.0001-01-01-00000.nc	1.03929	0
FSDSC	g16.080.cam.h0.0001-01-01-00000.nc	1.00268	0
FSDSC	g16.081.cam.h0.0001-01-01-00000.nc	0.90915	0
FSDSC	g16.082.cam.h0.0001-01-01-00000.nc	1.02349	0
FSDSC	g16.083.cam.h0.0001-01-01-00000.nc	0.957192	0
FSDSC	g16.084.cam.h0.0001-01-01-00000.nc	1.0198	0
FSDSC	g16.085.cam.h0.0001-01-01-00000.nc	0.961004	0
FSDSC	g16.086.cam.h0.0001-01-01-00000.nc	0.950571	0
FSDSC	g16.087.cam.h0.0001-01-01-00000.nc	1.0437	0
FSDSC	g16.088.cam.h0.0001-01-01-00000.nc	1.1614	0
FSDSC	g16.089.cam.h0.0001-01-01-00000.nc	0.971947	0
FSDSC	g16.090.cam.h0.0001-01-01-00000.nc	0.985058	0
FSDSC	g16.091.cam.h0.0001-01-01-00000.nc	1.06456	0
FSDSC	g16.092.cam.h0.0001-01-01-00000.nc	0.980966	0
FSDSC	g16.093.cam.h0.0001-01-01-00000.nc	1.00097	0
FSDSC	g16.094.cam.h0.0001-01-01-00000.nc	1.08965	0
FSDSC	g16.095.cam.h0.0001-01-01-00000.nc	0.980405	0
FSDSC	g16.096.cam.h0.0001-01-01-00000.nc	1.00775	0
FSDSC	g16.097.cam.h0.0001-01-01-00000.nc	0.998527	0
FSDSC	g16.098.cam.h0.0001-01-01-00000.nc	0.935397	0
FSDSC	g16.099.cam.h0.0001-01-01-00000.nc	0.987791	0
FSDSC	g16.100.cam.h0.0001-01-01-00000.nc	1.29107	0
CCN3	g16.000.cam.h0.0001-01-01-00000.nc	0.936955	0
CCN3	g16.001.cam.h0.0001-01-01-00000.nc	1.2443	0
CCN3	g16.002.cam.h0.0001-01-01-00000.nc	0.909387	0
CCN3	g16.003.cam.h0.0001-01-01-00000.nc	1.11431	0
CCN3	g16.004.cam.h0.0001-01-01-00000.nc	1.0921	0
CCN3	g16.005.cam.h0.0001-01-01-00000.nc	1.01414	0
CCN3	g16.006.cam.h0.0001-01-01-00000.nc	0.942023	0
CCN3	g16.007.cam.h0.0001-01-01-00000.nc	0.955557	0
CCN3	g16.008.cam.h0.0001-01-01-00000.nc	0.890523	0
CCN3	g16.009.cam.h0.0001-01-01-00000.nc	1.11473	0
CCN3	g16.010.cam.h0.0001-01-01-00000.nc	0.953634	0
CCN3	g16.011.cam.h0.0001-01-01-00000.nc	1.16187	0
CCN3	g16.012.cam.h0.0001-01-01-00000.nc	1.17586	0
CCN3	g16.013.cam.h0.0001-01-01-00000.nc	0.889446	0
CCN3	g16.014.cam.h0.0001-01-01-00000.nc	1.26561	0
CCN3	g16.015.cam.h0.0001-01-01-00000.nc	1.05497	0
CCN3	g16.016.cam.h0.0001-01-01-00000.nc	0.874986	0
CCN3	g16.017.cam.h0.0001-01-01-00000.nc	1.04707	0
CCN3	g16.018.cam.h0.0001-01-01-00000.nc	0.985525	0
CCN3	g16.019.cam.h0.0001-01-01-00000.nc	1.07523	0
CCN3	g16.020.cam.h0.0001-01-01-00000.nc	1.02869	0
CCN3	g16.021.cam.h0.0001-01-01-00000.nc	1.20293	0
CCN3	g16.022.cam.h0.0001-01-01-00000.nc	0.879766	0
CCN3	g16.023.cam.h0.0001-01-01-00000.nc	0.886006	0
CCN3	g16.024.cam.h0.0001-01-01-00000.nc	0.985384	0
CCN3	g16.025.cam.h0.0001-01-01-00000.nc	0.868568	0
CCN3	g16.026.cam.h0.0001-01-01-00000.nc	1.15843	0
CCN3	g16.027.cam.h0.0001-01-01-00000.nc	0.919506	0
CCN3	g16.028.cam.h0.0001-01-01-00000.nc	0.958784	0
CCN3	g16.029.cam.h0.0001-01-01-00000.nc	0.953155	0
CCN3	g16.030.cam.h0.0001-01-01-00000.nc	0.950597	0
CCN3	g16.031.cam.h0.0001-01-01-00000.nc	0.956845	0
CCN3	g16.032.cam.h0.0001-01-01-00000.nc	0.889564	0
CCN3	g16.033.cam.h0.0001-01-01-00000.nc	0.993413	0
CCN3	g16.034.cam.h0.0001-01-01-00000.nc	1.00186	0
CCN3	g16.035.cam.h0.0001-01-01-00000.nc	0.895806	0
CCN3	g16.036.cam.h0.0001-01-01-00000.nc	1.13207	0
CCN3	g16.037.cam.h0.0001-01-01-00000.nc	0.921992	0
CCN3	g16.038.cam.h0.0001-01-01-00000.nc	1.24154	0
CCN3	g16.039.cam.h0.0001-01-01-00000.nc	1.06575	0
CCN3	g16.040.cam.h0.0001-01-01-00000.nc	1.02767	0
CCN3	g16.041.cam.h0.0001-01-01-00000.nc	0.870199	0
CCN3	g16.042.cam.h0.0001-01-01-00000.nc	0.967462	0
