VARIABLE	K	M	STATISTIC	VALUE
num_a1	6	160	std_original	2.23938e+08
num_a1	6	160	min_reconstructed	-9.16046e+07
num_a1	6	160	max_reconstructed	1.26272e+10
num_a1	6	160	mean_reconstructed	9.29036e+07
num_a1	6	160	std_reconstructed	2.23567e+08
num_a1	6	160	max_error	0.074063
num_a1	6	160	rms_error	0.00101265
num_a1	6	160	correlation	0.998343
num_a1	6	160	srr	4.11934
num_a1	6	160	precisionbits	2.7551
ANSNOW	6	160	min_original	0
ANSNOW	6	160	max_original	255200
ANSNOW	6	160	mean_original	1353.14
ANSNOW	6	160	std_original	4425.36
ANSNOW	6	160	min_reconstructed	-9723.3
ANSNOW	6	160	max_reconstructed	244437
ANSNOW	6	160	mean_reconstructed	1353.14
ANSNOW	6	160	std_reconstructed	4380.4
ANSNOW	6	160	max_error	0.0892537
ANSNOW	6	160	rms_error	0.00246555
ANSNOW	6	160	correlation	0.98984
ANSNOW	6	160	srr	2.81418
ANSNOW	6	160	precisionbits	2.48594
FREQI	6	160	min_original	0
FREQI	6	160	max_original	0.88516
FREQI	6	160	mean_original	0.0555143
FREQI	6	160	std_original	0.0945655
FREQI	6	160	min_reconstructed	-0.0156408
FREQI	6	160	max_reconstructed	0.890272
FREQI	6	160	mean_reconstructed	0.0555143
FREQI	6	160	std_reconstructed	0.0945414
FREQI	6	160	max_error	0.046803
FREQI	6	160	rms_error	0.00241487
FREQI	6	160	correlation	0.999744
FREQI	6	160	srr	5.46729
FREQI	6	160	precisionbits	3.41725
TOT_CLD_VISTAU	6	160	min_original	0
TOT_CLD_VISTAU	6	160	max_original	19.4941
TOT_CLD_VISTAU	6	160	mean_original	0.306793
TOT_CLD_VISTAU	6	160	std_original	0.702205
TOT_CLD_VISTAU	6	160	min_reconstructed	-0.423105
TOT_CLD_VISTAU	6	160	max_reconstructed	18.9424
TOT_CLD_VISTAU	6	160	mean_reconstructed	0.306793
TOT_CLD_VISTAU	6	160	std_reconstructed	0.700942
TOT_CLD_VISTAU	6	160	max_error	0.0864792
TOT_CLD_VISTAU	6	160	rms_error	0.00215946
TOT_CLD_VISTAU	6	160	correlation	0.998201
TOT_CLD_VISTAU	6	160	srr	4.06011
TOT_CLD_VISTAU	6	160	precisionbits	2.5315
ABSORB	6	160	min_original	9.67492e-13
ABSORB	6	160	max_original	0.000438466
ABSORB	6	160	mean_original	9.29679e-07
ABSORB	6	160	std_original	4.72151e-06
ABSORB	6	160	min_reconstructed	-2.31789e-06
ABSORB	6	160	max_reconstructed	0.000415953
ABSORB	6	160	mean_reconstructed	9.29679e-07
ABSORB	6	160	std_reconstructed	4.71434e-06
ABSORB	6	160	max_error	0.0778512
ABSORB	6	160	rms_error	0.000593451
ABSORB	6	160	correlation	0.99848
ABSORB	6	160	srr	4.18151
ABSORB	6	160	precisionbits	2.68314
dgnd_a02	6	160	min_original	1.98504e-08
dgnd_a02	6	160	max_original	5.24956e-08
dgnd_a02	6	160	mean_original	3.46611e-08
dgnd_a02	6	160	std_original	4.91539e-09
dgnd_a02	6	160	min_reconstructed	1.97051e-08
dgnd_a02	6	160	max_reconstructed	5.27463e-08
dgnd_a02	6	160	mean_reconstructed	3.46611e-08
dgnd_a02	6	160	std_reconstructed	4.91495e-09
dgnd_a02	6	160	max_error	0.0462427
dgnd_a02	6	160	rms_error	0.0019946
dgnd_a02	6	160	correlation	0.999912
dgnd_a02	6	160	srr	6.23819
dgnd_a02	6	160	precisionbits	3.43463
VD01	6	160	min_original	-1.67312e-07
VD01	6	160	max_original	2.01814e-07
VD01	6	160	mean_original	4.65942e-09
VD01	6	160	std_original	1.33945e-08
VD01	6	160	min_reconstructed	-1.67922e-07
VD01	6	160	max_reconstructed	1.949e-07
VD01	6	160	mean_reconstructed	4.65942e-09
VD01	6	160	std_reconstructed	1.33836e-08
VD01	6	160	max_error	0.0608007
VD01	6	160	rms_error	0.00146857
VD01	6	160	correlation	0.999181
VD01	6	160	srr	4.62697
VD01	6	160	precisionbits	3.03977
TOT_ICLD_VISTAU	6	160	min_original	0
TOT_ICLD_VISTAU	6	160	max_original	67.5472
TOT_ICLD_VISTAU	6	160	mean_original	1.36954
TOT_ICLD_VISTAU	6	160	std_original	2.7199
TOT_ICLD_VISTAU	6	160	min_reconstructed	-1.41671
TOT_ICLD_VISTAU	6	160	max_reconstructed	68.0967
TOT_ICLD_VISTAU	6	160	mean_reconstructed	1.36954
TOT_ICLD_VISTAU	6	160	std_reconstructed	2.70669
TOT_ICLD_VISTAU	6	160	max_error	0.185512
TOT_ICLD_VISTAU	6	160	rms_error	0.00396411
TOT_ICLD_VISTAU	6	160	correlation	0.995142
TOT_ICLD_VISTAU	6	160	srr	3.34452
TOT_ICLD_VISTAU	6	160	precisionbits	1.43042
dgnd_a01	6	160	min_original	4.92289e-08
dgnd_a01	6	160	max_original	3.64792e-07
dgnd_a01	6	160	mean_original	1.35156e-07
dgnd_a01	6	160	std_original	3.44591e-08
dgnd_a01	6	160	min_reconstructed	4.9066e-08
dgnd_a01	6	160	max_reconstructed	3.69475e-07
dgnd_a01	6	160	mean_reconstructed	1.35156e-07
dgnd_a01	6	160	std_reconstructed	3.44548e-08
dgnd_a01	6	160	max_error	0.0444037
dgnd_a01	6	160	rms_error	0.00171922
dgnd_a01	6	160	correlation	0.999876
dgnd_a01	6	160	srr	5.98905
dgnd_a01	6	160	precisionbits	3.49318
soa_a2	6	160	min_original	6.38432e-21
soa_a2	6	160	max_original	5.94177e-11
soa_a2	6	160	mean_original	1.80749e-12
soa_a2	6	160	std_original	1.70821e-12
soa_a2	6	160	min_reconstructed	-8.68338e-13
soa_a2	6	160	max_reconstructed	5.76573e-11
soa_a2	6	160	mean_reconstructed	1.80749e-12
soa_a2	6	160	std_reconstructed	1.70464e-12
soa_a2	6	160	max_error	0.0777205
soa_a2	6	160	rms_error	0.0018586
soa_a2	6	160	correlation	0.997908
soa_a2	6	160	srr	3.95123
soa_a2	6	160	precisionbits	2.68556
soa_a1	6	160	min_original	7.33149e-15
soa_a1	6	160	max_original	1.71704e-08
soa_a1	6	160	mean_original	2.09364e-10
soa_a1	6	160	std_original	5.82626e-10
soa_a1	6	160	min_reconstructed	-5.01238e-10
soa_a1	6	160	max_reconstructed	1.73823e-08
soa_a1	6	160	mean_reconstructed	2.09364e-10
soa_a1	6	160	std_reconstructed	5.82171e-10
soa_a1	6	160	max_error	0.0493651
soa_a1	6	160	rms_error	0.00134058
soa_a1	6	160	correlation	0.999219
soa_a1	6	160	srr	4.66173
soa_a1	6	160	precisionbits	3.34037
AREL	6	160	min_original	0
AREL	6	160	max_original	9.03571
AREL	6	160	mean_original	0.44885
AREL	6	160	std_original	0.997112
AREL	6	160	min_reconstructed	-0.180672
AREL	6	160	max_reconstructed	9.06642
AREL	6	160	mean_reconstructed	0.44885
AREL	6	160	std_reconstructed	0.996897
AREL	6	160	max_error	0.0802927
AREL	6	160	rms_error	0.00229402
AREL	6	160	correlation	0.999784
AREL	6	160	srr	5.5881
AREL	6	160	precisionbits	2.63859
AREI	6	160	min_original	0
AREI	6	160	max_original	62.891
AREI	6	160	mean_original	4.31814
AREI	6	160	std_original	7.50973
AREI	6	160	min_reconstructed	-1.52086
AREI	6	160	max_reconstructed	61.8289
AREI	6	160	mean_reconstructed	4.31814
AREI	6	160	std_reconstructed	7.50763
AREI	6	160	max_error	0.0637133
AREI	6	160	rms_error	0.00282097
AREI	6	160	correlation	0.999721
AREI	6	160	srr	5.40357
AREI	6	160	precisionbits	2.97226
OMEGA	6	160	min_original	-1.00316
OMEGA	6	160	max_original	0.828433
OMEGA	6	160	mean_original	-0.000671521
OMEGA	6	160	std_original	0.0285833
OMEGA	6	160	min_reconstructed	-1.00272
OMEGA	6	160	max_reconstructed	0.818423
OMEGA	6	160	mean_reconstructed	-0.000671521
OMEGA	6	160	std_reconstructed	0.0285161
OMEGA	6	160	max_error	0.0563394
OMEGA	6	160	rms_error	0.0010697
OMEGA	6	160	correlation	0.997648
OMEGA	6	160	srr	3.86679
OMEGA	6	160	precisionbits	3.14971
RELHUM	6	160	min_original	0.0059569
RELHUM	6	160	max_original	130.875
RELHUM	6	160	mean_original	47.3473
RELHUM	6	160	std_original	31.957
RELHUM	6	160	min_reconstructed	-1.13817
RELHUM	6	160	max_reconstructed	131.35
RELHUM	6	160	mean_reconstructed	47.3473
RELHUM	6	160	std_reconstructed	31.9555
RELHUM	6	160	max_error	0.0296364
RELHUM	6	160	rms_error	0.00234062
RELHUM	6	160	correlation	0.999954
RELHUM	6	160	srr	6.70497
RELHUM	6	160	precisionbits	4.07648
bc_a1	6	160	min_original	1.73846e-15
bc_a1	6	160	max_original	2.77532e-09
bc_a1	6	160	mean_original	1.73599e-11
bc_a1	6	160	std_original	6.13829e-11
bc_a1	6	160	min_reconstructed	-3.66335e-11
bc_a1	6	160	max_reconstructed	2.62882e-09
bc_a1	6	160	mean_reconstructed	1.73599e-11
bc_a1	6	160	std_reconstructed	6.1297e-11
bc_a1	6	160	max_error	0.0580728
bc_a1	6	160	rms_error	0.00116993
bc_a1	6	160	correlation	0.9986
bc_a1	6	160	srr	4.24069
bc_a1	6	160	precisionbits	3.10599
FICE	6	160	min_original	0
FICE	6	160	max_original	0.999715
FICE	6	160	mean_original	0.24578
FICE	6	160	std_original	0.29576
FICE	6	160	min_reconstructed	-0.0272168
FICE	6	160	max_reconstructed	1.0157
FICE	6	160	mean_reconstructed	0.24578
FICE	6	160	std_reconstructed	0.295744
FICE	6	160	max_error	0.137523
FICE	6	160	rms_error	0.00312784
FICE	6	160	correlation	0.999944
FICE	6	160	srr	6.56353
FICE	6	160	precisionbits	1.86226
