K	M	STATISTIC	VALUE
6	60	lanczos_mean	0
6	60	lanczos_min	0
6	60	lanczos_max	0
6	60	lanczos_mean_converged	0
6	60	lanczos_min_converged	0
6	60	lanczos_max_converged	0
6	60	time_input	2.20654
6	60	time_solve	306.034
6	60	compression_ratio	4.10252
6	70	iterations	48
6	70	L_final	23.0969
6	70	lanczos_mean	0
6	70	lanczos_min	0
6	70	lanczos_max	0
6	70	lanczos_mean_converged	0
6	70	lanczos_min_converged	0
6	70	lanczos_max_converged	0
6	70	time_input	2.13583
6	70	time_solve	296.858
6	70	compression_ratio	4.78438
6	80	iterations	48
7	10	L_final	60039.8
7	10	lanczos_mean	0
7	10	lanczos_min	0
7	10	lanczos_max	0
7	10	lanczos_mean_converged	0
7	10	lanczos_min_converged	0
7	10	lanczos_max_converged	0
7	10	time_input	2.07553
7	10	time_solve	479.832
7	10	compression_ratio	0.806871
7	20	L_final	14883.7
7	20	lanczos_mean	0
7	20	lanczos_min	0
7	20	lanczos_max	0
7	20	lanczos_mean_converged	0
7	20	lanczos_min_converged	0
7	20	lanczos_max_converged	0
7	20	time_input	2.13671
7	20	time_solve	500.549
7	20	compression_ratio	1.60237
7	30	L_final	4944.82
7	30	lanczos_mean	0
7	30	lanczos_min	0
7	30	lanczos_max	0
7	30	lanczos_mean_converged	0
7	30	lanczos_min_converged	0
7	30	lanczos_max_converged	0
7	30	time_input	2.1406
7	30	time_solve	517.992
7	30	compression_ratio	2.39788
7	40	L_final	1695.94
7	40	lanczos_mean	0
7	40	lanczos_min	0
7	40	lanczos_max	0
7	40	lanczos_mean_converged	0
7	40	lanczos_min_converged	0
7	40	lanczos_max_converged	0
7	40	time_input	2.17665
7	40	time_solve	534.402
7	40	compression_ratio	3.19338
7	50	L_final	584.509
7	50	lanczos_mean	0
7	50	lanczos_min	0
7	50	lanczos_max	0
7	50	lanczos_mean_converged	0
7	50	lanczos_min_converged	0
7	50	lanczos_max_converged	0
7	50	time_input	2.34113
7	50	time_solve	550.987
7	50	compression_ratio	3.98888
7	60	L_final	171.635
7	60	lanczos_mean	0
7	60	lanczos_min	0
7	60	lanczos_max	0
7	60	lanczos_mean_converged	0
7	60	lanczos_min_converged	0
7	60	lanczos_max_converged	0
7	60	time_input	2.16463
7	60	time_solve	561.765
7	60	compression_ratio	4.78438
7	70	L_final	33.6872
7	70	lanczos_mean	0
7	70	lanczos_min	0
7	70	lanczos_max	0
7	70	lanczos_mean_converged	0
7	70	lanczos_min_converged	0
7	70	lanczos_max_converged	0
7	70	time_input	2.16726
7	70	time_solve	546.532
7	70	compression_ratio	5.57989
7	80	L_final	1.10072
7	80	lanczos_mean	0
7	80	lanczos_min	0
7	80	lanczos_max	0
7	80	lanczos_mean_converged	0
7	80	lanczos_min_converged	0
7	80	lanczos_max_converged	0
7	80	time_input	2.16342
7	80	time_solve	523.065
7	80	compression_ratio	6.37539
8	10	L_final	48685.4
8	10	lanczos_mean	0
8	10	lanczos_min	0
8	10	lanczos_max	0
8	10	lanczos_mean_converged	0
8	10	lanczos_min_converged	0
8	10	lanczos_max_converged	0
8	10	time_input	2.98815
8	10	time_solve	540.884
8	10	compression_ratio	0.920515
8	20	L_final	13117.9
8	20	lanczos_mean	0
8	20	lanczos_min	0
8	20	lanczos_max	0
8	20	lanczos_mean_converged	0
8	20	lanczos_min_converged	0
8	20	lanczos_max_converged	0
8	20	time_input	2.35854
8	20	time_solve	580.204
8	20	compression_ratio	1.82966
8	30	L_final	4505.03
8	30	lanczos_mean	0
8	30	lanczos_min	0
8	30	lanczos_max	0
8	30	lanczos_mean_converged	0
8	30	lanczos_min_converged	0
8	30	lanczos_max_converged	0
8	30	time_input	2.1502
8	30	time_solve	601.91
8	30	compression_ratio	2.73881
9	10	iterations	67
9	10	L_final	47757.5
9	10	lanczos_mean	0
9	10	lanczos_min	0
9	10	lanczos_max	0
9	10	lanczos_mean_converged	0
9	10	lanczos_min_converged	0
9	10	lanczos_max_converged	0
9	10	time_input	2.11747
9	10	time_solve	387.112
9	10	compression_ratio	1.03416
9	20	iterations	67
9	20	L_final	11391.3
9	20	lanczos_mean	0
9	20	lanczos_min	0
9	20	lanczos_max	0
9	20	lanczos_mean_converged	0
9	20	lanczos_min_converged	0
9	20	lanczos_max_converged	0
9	20	time_input	2.36943
9	20	time_solve	392.942
9	20	compression_ratio	2.05695
9	30	iterations	67
9	30	L_final	3734.5
9	30	lanczos_mean	0
9	30	lanczos_min	0
9	30	lanczos_max	0
9	30	lanczos_mean_converged	0
9	30	lanczos_min_converged	0
9	30	lanczos_max_converged	0
9	30	time_input	2.16935
9	30	time_solve	413.796
9	30	compression_ratio	3.07974
9	40	iterations	67
9	40	L_final	1295.34
9	40	lanczos_mean	0
9	40	lanczos_min	0
9	40	lanczos_max	0
9	40	lanczos_mean_converged	0
9	40	lanczos_min_converged	0
9	40	lanczos_max_converged	0
9	40	time_input	2.74608
9	40	time_solve	431.968
9	40	compression_ratio	4.10253
9	50	iterations	67
9	50	L_final	431.865
9	50	lanczos_mean	0
9	50	lanczos_min	0
9	50	lanczos_max	0
9	50	lanczos_mean_converged	0
9	50	lanczos_min_converged	0
9	50	lanczos_max_converged	0
9	50	time_input	2.43082
9	50	time_solve	449.475
9	50	compression_ratio	5.12531
9	60	iterations	67
9	60	L_final	116.342
9	60	lanczos_mean	0
9	60	lanczos_min	0
9	60	lanczos_max	0
9	60	lanczos_mean_converged	0
9	60	lanczos_min_converged	0
9	60	lanczos_max_converged	0
9	60	time_input	1.59495
9	60	time_solve	447.588
9	60	compression_ratio	6.1481
9	70	iterations	67
9	70	L_final	14.8579
9	70	lanczos_mean	0
9	70	lanczos_min	0
9	70	lanczos_max	0
9	70	lanczos_mean_converged	0
9	70	lanczos_min_converged	0
9	70	lanczos_max_converged	0
9	70	time_input	1.5473
9	70	time_solve	441.92
9	70	compression_ratio	7.17089
9	80	iterations	67
10	10	L_final	52307.8
10	10	lanczos_mean	0
10	10	lanczos_min	0
10	10	lanczos_max	0
10	10	lanczos_mean_converged	0
10	10	lanczos_min_converged	0
10	10	lanczos_max_converged	0
10	10	time_input	3.1633
10	10	time_solve	597.575
10	10	compression_ratio	1.1478
10	20	L_final	12832
10	20	lanczos_mean	0
10	20	lanczos_min	0
10	20	lanczos_max	0
10	20	lanczos_mean_converged	0
10	20	lanczos_min_converged	0
10	20	lanczos_max_converged	0
10	20	time_input	2.40421
10	20	time_solve	620.205
10	20	compression_ratio	2.28423
10	30	L_final	4340.81
10	30	lanczos_mean	0
10	30	lanczos_min	0
10	30	lanczos_max	0
10	30	lanczos_mean_converged	0
10	30	lanczos_min_converged	0
10	30	lanczos_max_converged	0
10	30	time_input	2.14322
10	30	time_solve	650.879
10	30	compression_ratio	3.42067
10	40	L_final	1541.4
10	40	lanczos_mean	0
10	40	lanczos_min	0
10	40	lanczos_max	0
10	40	lanczos_mean_converged	0
10	40	lanczos_min_converged	0
10	40	lanczos_max_converged	0
10	40	time_input	2.12811
10	40	time_solve	636.786
10	40	compression_ratio	4.5571
10	50	L_final	541.255
10	50	lanczos_mean	0
10	50	lanczos_min	0
10	50	lanczos_max	0
10	50	lanczos_mean_converged	0
10	50	lanczos_min_converged	0
10	50	lanczos_max_converged	0
10	50	time_input	2.07065
10	50	time_solve	656.227
10	50	compression_ratio	5.69353
10	60	L_final	163.336
10	60	lanczos_mean	0
10	60	lanczos_min	0
10	60	lanczos_max	0
10	60	lanczos_mean_converged	0
10	60	lanczos_min_converged	0
10	60	lanczos_max_converged	0
10	60	time_input	2.03894
10	60	time_solve	661.959
10	60	compression_ratio	6.82996
10	70	L_final	29.8562
10	70	lanczos_mean	0
10	70	lanczos_min	0
10	70	lanczos_max	0
10	70	lanczos_mean_converged	0
10	70	lanczos_min_converged	0
10	70	lanczos_max_converged	0
10	70	time_input	2.02351
10	70	time_solve	653.459
10	70	compression_ratio	7.9664
10	80	L_final	0.447933
10	80	lanczos_mean	0
10	80	lanczos_min	0
10	80	lanczos_max	0
10	80	lanczos_mean_converged	0
10	80	lanczos_min_converged	0
10	80	lanczos_max_converged	0
10	80	time_input	2.47483
10	80	time_solve	626.659
10	80	compression_ratio	9.10283
